STATE,COUNTY,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019
05,051,97851,97930,98356,98476,99121,99472
05,053,18084,18031,18080,18118,18209,18287
05,055,43809,44321,44733,45002,45339,45316
05,057,22339,22095,22047,21895,21714,21568
05,059,33418,33511,33452,33630,33680,33784
05,061,13489,13332,13347,13361,13297,13219
05,063,37095,37055,37121,37416,37799,37819
05,065,13566,13495,13500,13673,13574,13620
05,067,17608,17386,17314,17033,16776,16782
05,069,72504,71920,70512,69350,68241,67137
05,071,25976,26103,26160,26423,26684,26596
05,073,7157,7009,6895,6807,6684,6656
05,075,16970,16705,16662,16588,16452,16440
05,077,9827,9660,9330,9121,8962,8889
05,079,14034,13872,13745,13481,13208,13012
05,081,12515,12417,12435,12386,12357,12368
05,083,21866,21728,21743,21740,21705,21495
05,085,71408,71409,71845,72843,73560,73648
05,087,15741,15719,16136,16307,16359,16519
05,089,16428,16226,16408,16458,16631,16645
05,091,43509,43858,43776,43819,43431,43370
05,093,44203,43692,42863,42093,41239,40717
05,095,7636,7454,7195,7012,6880,6723
05,097,9163,9029,8947,8893,8927,9047
05,099,8642,8506,8368,8300,8272,8205
05,101,7869,7848,7855,7816,7780,7712
05,103,24767,24324,24021,23820,23605,23372
05,105,10358,10303,10266,10332,10366,10417
05,107,19952,19548,19041,18607,18038,17769
05,109,10988,10834,10836,10731,10657,10705
05,111,24151,24004,23993,24082,23877,23502
05,113,20257,20205,20164,20163,20019,19944
05,115,63145,63642,63916,63657,63577,64145
05,117,8355,8311,8267,8263,8100,8093
05,119,393210,393857,394322,393585,392184,392318
05,121,17579,17447,17452,17724,18085,18161
05,123,27029,26600,26306,25959,25459,24977
05,125,114906,116428,117707,119578,121147,122550
05,127,10663,10538,10318,10360,10288,10217
05,129,7926,7838,7960,7928,7898,7862
05,131,126852,127511,127578,127910,127582,127688
05,133,17411,17263,16959,17085,17019,16972
05,135,16821,16811,17016,17146,17222,17276
05,137,12392,12405,12525,12555,12542,12614
05,139,40156,40112,39920,39499,39130,38677
05,141,16911,16811,16682,16557,16580,16529
05,143,220075,224600,228612,232915,236855,239392
05,145,78500,78954,78941,78944,78390,78621
